2007-10-30,PAYMENT THANK YOU/PAIEMENT MERCI,,577.91
2007-10-30,MOUNTAIN EQUIPMENT CO-OP VICTORIA  BC,,220.35
2007-11-06,WASTE/RADIOHEAD LTD US   LONDON,2.89,
2007-11-06,THE OLD SPAGHETTI FACTORYVICTORIA  BC,25.63,
2007-11-07,CRAG X INDOOR CLIMBING CEVICTORIA  BC,40.00,
2007-11-07,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-11-07,MOUNTAIN EQUIPMENT CO-OP VICTORIA  BC,12.72,
2007-11-07,SUBWAY DOWNTOWN          VICTORIA  BC,6.24,
2007-11-13,BEDFORD REGENCY HOTEL    VICTORIA  BC,14.04,
2007-11-13,BAGELS ON BROAD          VICTORIA  BC,3.38,
2007-11-13,SUBWAY DOWNTOWN          VICTORIA  BC,6.70,
2007-11-13,PIC A FLIC VIDEO         VICTORIA  BC,5.00,
2007-11-13,DTDNS                    941-378-5341 FL,19.31,
2007-11-13,LONDON DRUGS 29          VICTORIA  BC,11.61,
2007-11-13,LONDON DRUGS 29          VICTORIA  BC,0.38,
2007-11-14,HARBOUR  AIR/SOLTYS M    RICHMOND  BC,32.75,
2007-11-14,BLENZ COFFEE             VANCOUVER  BC,4.56,
2007-11-15,STADACONA FOOD MARKET    VICTORIA  BC,9.63,
2007-11-15,MOUNTAIN EQUIPMENT CO-OP VANCOUVER  BC,185.32,
2007-11-15,THAI HOUSE RESTAURANT    VANCOUVER  BC,48.40,
2007-11-16,KITTO JAPANESE HOUSE     VANCOUVER  BC,27.01,
2007-11-16,SUBWAY SANDWICHES        VANCOUVER  BC,6.32,
2007-11-16,HARBOUR  AIR/SOLTYS M    RICHMOND  BC,22.26,
2007-11-19,SUBWAY SANDWICHES        VANCOUVER  BC,6.35,
2007-11-19,SUTTON PLACE HOTEL       VANCOUVER  BC,313.20,
2007-11-19,SUBWAY DOWNTOWN          VICTORIA  BC,6.22,
2007-11-19,THRIFTY FOODS #17        VICTORIA  BC,55.46,
2007-11-22,SUBWAY DOWNTOWN          VICTORIA  BC,6.33,
2007-11-23,PAYMENT THANK YOU/PAIEMENT MERCI,,528.38
2007-11-23,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-11-26,MEE WAH RESTAURANT LTD   VICTORIA  BC,30.71,
2007-11-26,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-11-26,STARBUCKS CAN 00042341   VICTORIA  BC,6.04,
2007-11-26,THE LEVI STORE           VICTORIA  BC,131.08,
2007-11-26,NEW BALANCE VICTORIA     VICTORIA  BC,,135.59
2007-11-26,NEW BALANCE VICTORIA     VICTORIA  BC,135.59,
2007-11-26,NEW BALANCE VICTORIA     VICTORIA  BC,112.95,
2007-11-27,CDN TIRE STORE #00365    VICTORIA  BC,8.35,
2007-11-28,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-11-28,CINEPLEX  1129           TORONTO  ON,8.95,
2007-11-28,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-11-30,MCDONALD'S #8016  Q04    VICTORIA  BC,7.04,
2007-11-30,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-11-30,BON SUSHI                VICTORIA  BC,26.59,
2007-12-03,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-12-03,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-12-03,HON'S WUN-TUN RICHMOND   RICHMOND  BC,24.71,
2007-12-04,GREYHOUND CANADA-6180    VANCOUVER  BC,30.00,
2007-12-04,BLENZ COFFEE             VANCOUVER  BC,2.00,
2007-12-04,BCF-SWARTZBAY071130      VICTORIA  BC,23.60,
2007-12-04,BCF-SPIRITVI071130       VICTORIA  BC,18.10,
2007-12-05,OLD SPAGHETTI FACTORY    WHISTLER  BC,60.00,
2007-12-05,SUBWAY SANDWICHES        VANCOUVER  BC,6.32,
2007-12-05,TRANSLINK FARE PURCHASE  BURNABY  BC,2.25,
2007-12-05,TRANSLINK FARE PURCHASE  BURNABY  BC,2.25,
2007-12-05,SMARTE CARTE RENT        800-328-9006 BC,5.00,
2007-12-05,BCF-TSAWWASSEN071203     VICTORIA  BC,11.80,
2007-12-06,STARBUCKS CAN 00046532   VICTORIA  BC,3.92,
2007-12-06,SUBWAY DOWNTOWN          VICTORIA  BC,6.88,
2007-12-06,BCF-SPIRITVI071203       VICTORIA  BC,7.20,
2007-12-07,PAGLIACCI'S RESTAURANT   VICTORIA  BC,51.79,
2007-12-07,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-12-07,WELLBURNS FOOD MARKET    VICTORIA  BC,8.81,
2007-12-07,AWARDS REBATE,,181.73
2007-12-10,SUBWAY DOWNTOWN          VICTORIA  BC,6.88,
2007-12-10,MCDONALD'S #8016  Q04    VICTORIA  BC,7.04,
2007-12-10,WELLBURNS FOOD MARKET    VICTORIA  BC,35.07,
2007-12-10,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-12-10,MCDONALD'S #8374  Q04    VICTORIA  BC,4.01,
2007-12-10,SUBWAY                   VICTORIA  BC,6.88,
2007-12-10,GRANDVIEW LANES          VANCOUVER  BC,11.00,
2007-12-11,BCF-SWARTZBAY071208      VICTORIA  BC,11.80,
2007-12-11,BCF-SPIRITBC071208       VICTORIA  BC,8.79,
2007-12-11,BCF-TSAWWASSEN071209     VICTORIA  BC,11.80,
2007-12-12,BC LIQUOR #218           VICTORIA  BC,25.19,
2007-12-12,STARBUCKS CAN 00046532   VICTORIA  BC,3.92,
2007-12-12,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-12-12,MTN EQUIP CO-0P          VANCOUVER  BC,41.34,
2007-12-12,BCF-SPIRITVI071209       VICTORIA  BC,8.79,
2007-12-13,SUBWAY DOWNTOWN          VICTORIA  BC,6.88,
2007-12-13,OLD BRITISH FISH & CHIPS VICTORIA  BC,15.85,
2007-12-14,SUBWAY DOWNTOWN          VICTORIA  BC,3.17,
2007-12-14,STADACONA FOOD MARKET    VICTORIA  BC,12.04,
2007-12-14,MCDONALD'S #8374  Q04    VICTORIA  BC,4.01,
2007-12-17,FRANKS HONEY BUN CAFE    VICTORIA  BC,7.49,
2007-12-17,MCDONALD'S #8374  Q04    VICTORIA  BC,4.24,
2007-12-17,THRIFTY FOODS #17        VICTORIA  BC,40.70,
2007-12-17,SUBWAY                   VICTORIA  BC,7.50,
2007-12-18,FRANKS HONEY BUN CAFE    VICTORIA  BC,6.54,
2007-12-18,SALAD LOOP               VICTORIA  BC,4.14,
2007-12-18,MOUNTAIN EQUIPMENT CO-OP VICTORIA  BC,19.49,
2007-12-19,PANAGO #27               VICTORIA  BC,10.60,
2007-12-19,CORNER STONE CAFE        VICTORIA  BC,4.85,
2007-12-20,SUBWAY SANDWICHES        VANCOUVER  BC,3.17,
2007-12-20,TRANSLINK FARE PURCHASE  BURNABY  BC,2.25,
2007-12-20,QUIZNO'S CLASSIC SUBS    VANCOUVER  BC,9.51,
2007-12-24,TRANSLINK FARE PURCHASE  BURNABY  BC,2.25,
2007-12-24,MCDONALD'S #10430  Q04   RICHMOND  BC,4.85,
