2007-08-29,Automated Banking Machine INSTANT TELLER WITHDRAWAL DOUGLAS + VIEW            1A1N ,80.00,
2007-08-30,Internet Banking INTERNET TRANSFER 000000501530  ,266.62,
2007-08-31,Inter-Branch Banking DEPOSIT                    IBB DOUGLAS AND VIEW    VICTORIA ,,834.42
2007-08-31,Branch Transaction SERVICE CHARGE  ,3.90,
2007-08-31,Branch Transaction SERVICE CHARGE DISCOUNT  ,,3.90
2007-09-04,Internet Banking INTERNET TRANSFER 000000693964  ,,0.50
2007-09-04,Electronic Funds Transfer PREAUTHORIZED DEBIT INVESTMENT CIBCSI EFT-PAC,50.00,
2007-09-24,Automated Banking Machine INSTANT TELLER WITHDRAWAL 7-ELEVEN                  1F48 ,80.00,
2007-09-26,Internet Banking INTERNET TRANSFER 000000237262  ,914.66,
2007-09-27,Internet Banking INTERNET BILL PAY 000000262031 TELUS MOBILITY.MOBILITE ,81.75,
2007-09-30,Branch Transaction SERVICE CHARGE  ,3.90,
2007-09-30,Branch Transaction SERVICE CHARGE DISCOUNT  ,,3.90
2007-10-01,Cheque or Preauth. Debit CHEQUE  055           42224459  ,2000.00,
2007-10-01,Electronic Funds Transfer PREAUTHORIZED DEBIT INVESTMENT CIBCSI EFT-PAC,50.00,
2007-10-02,Cheque or Preauth. Debit CHEQUE  041           41619400  ,700.00,
2007-10-03,Automated Banking Machine INSTANT TELLER DEPOSIT DOUGLAS + VIEW            1A11 ,,1504.75
2007-10-09,Automated Banking Machine INSTANT TELLER WITHDRAWAL BROADWAY + COMMERCIAL     2B36 ,80.00,
2007-10-17,Electronic Funds Transfer PAY Z3944225 CANADA,,1425.56
2007-10-22,Automated Banking Machine INSTANT TELLER WITHDRAWAL INTERAC/RBC          SCD  0003 ,62.50,
2007-10-22,Automated Banking Machine INSTANT TELLER WITHDRAWAL INTERAC/RBC          SCD  0003 ,82.50,
2007-10-22,Automated Banking Machine INSTANT TELLER WITHDRAWAL GANGES                    2C94 ,160.00,
2007-10-22,Electronic Funds Transfer NETWORK TRANSACTION FEE INSTANT TELLER ,1.50,
2007-10-22,Electronic Funds Transfer NETWORK TRANSACTION FEE INSTANT TELLER ,1.50,
2007-10-26,Point Of Sale or Debit Card RETAIL PURCHASE   199001001035 PHO VY VIETNAME ,22.60,
2007-10-29,Automated Banking Machine INSTANT TELLER WITHDRAWAL BROADWAY + WILLOW         1E0S ,80.00,
2007-10-29,Point Of Sale or Debit Card RETAIL PURCHASE   356001001048 BCF - TSA SELF ,11.35,
2007-10-29,Automated Banking Machine INSTANT TELLER WITHDRAWAL THREE WEST CTR            2D07 ,80.00,
2007-10-29,Point Of Sale or Debit Card RETAIL PURCHASE   000001001749 THE BAY 1111 RI ,76.84,
2007-10-29,Internet Banking INTERNET TRANSFER 000000589697  ,577.91,
2007-10-29,Automated Banking Machine INSTANT TELLER DEPOSIT DOUGLAS + VIEW            1A1N ,,138.91
2007-10-31,Point Of Sale or Debit Card RETAIL PURCHASE   730320556805 PAGLIACCI'S RES ,48.61,
2007-10-31,Electronic Funds Transfer PAY Z3944225 CANADA,,1441.14
2007-10-31,Branch Transaction SERVICE CHARGE  ,5.10,
2007-10-31,Branch Transaction SERVICE CHARGE DISCOUNT  ,,5.10
2007-11-01,Electronic Funds Transfer PREAUTHORIZED DEBIT INVESTMENT CIBCSI EFT-PAC,50.00,
2007-11-13,Automated Banking Machine INSTANT TELLER WITHDRAWAL INTERAC/RBC          SCD  0003 ,101.75,
2007-11-13,Electronic Funds Transfer NETWORK TRANSACTION FEE INSTANT TELLER ,1.50,
2007-11-14,Electronic Funds Transfer PAY Z3944225 CANADA,,1392.57
2007-11-14,Cheque or Preauth. Debit CHEQUE  056           22338708  ,350.00,
2007-11-22,Internet Banking INTERNET TRANSFER 000000305973  ,528.38,
2007-11-26,Inter-Branch Banking DEPOSIT                    IBB SHELBOURNE AND MCKENZIE  VICTO ,,50.00
2007-11-26,Point Of Sale or Debit Card RETAIL PURCHASE   732801891071 TIM HORTONS #29 ,7.57,
2007-11-26,Automated Banking Machine INSTANT TELLER WITHDRAWAL 7-ELEVEN                  1F48 ,80.00,
2007-11-28,Electronic Funds Transfer PAY Z3944225 CANADA,,1431.10
2007-11-30,Branch Transaction SERVICE CHARGE  ,3.90,
2007-11-30,Branch Transaction SERVICE CHARGE DISCOUNT  ,,3.90
2007-12-03,Cheque or Preauth. Debit CHEQUE  059           22446289  ,350.00,
2007-12-06,Internet Banking INTERNET BILL PAY 000000454038 TELUS MOBILITY.MOBILITE ,75.08,
2007-12-06,Inter-Branch Banking DEPOSIT                    IBB DOUGLAS AND VIEW    VICTORIA ,,2611.34
2007-12-10,Automated Banking Machine INSTANT TELLER WITHDRAWAL MACS                      2E1Z ,100.00,
2007-12-12,Electronic Funds Transfer PAY Z3944225 CANADA,,1451.21
2007-12-17,Point Of Sale or Debit Card RETAIL PURCHASE   734821625859 CINEPLEX #1129 ,8.95,
2007-12-17,Automated Banking Machine INSTANT TELLER WITHDRAWAL 7-ELEVEN                  1F48 ,80.00,
2007-12-18,Cheque or Preauth. Debit CHEQUE  060           21147371  ,1000.00,
2007-12-19,Point Of Sale or Debit Card RETAIL PURCHASE   735214097421 TIM HORTONS #28 ,10.93,
2007-12-24,Electronic Funds Transfer PAY Z3944225 CANADA,,1452.55
2007-12-24,Automated Banking Machine INSTANT TELLER DEPOSIT BROADWAY + COMMERCIAL     1G49 ,,559.72
2007-12-24,Cheque or Preauth. Debit CHEQUE  057           22008156  ,5.00,
2007-12-27,Internet Banking INTERNET TRANSFER 000000748736  ,1224.20,
2007-12-31,Point Of Sale or Debit Card RETAIL PURCHASE   736413254191 TIM HORTONS #28 ,2.20,
2007-12-31,Automated Banking Machine INSTANT TELLER WITHDRAWAL BROADWAY + COMMERCIAL     1G49 ,80.00,
2007-12-31,Branch Transaction SERVICE CHARGE  ,3.90,
2007-12-31,Branch Transaction SERVICE CHARGE DISCOUNT  ,,3.90
2008-01-09,Electronic Funds Transfer PAY Z3944225 CANADA,,1445.18
2008-01-10,Internet Banking INTERNET BILL PAY 000000290698 TELUS MOBILITY.MOBILITE ,41.07,
2008-01-14,Inter-Branch Banking WITHDRAWAL                 IBB SHELBOURNE AND MCKENZIE  VICTO ,50.00,
2008-01-14,Inter-Branch Banking WITHDRAWAL                 IBB SHELBOURNE AND MCKENZIE  VICTO ,80.00,
2008-01-14,Internet Banking INTERNET BILL PAY 000000720707 BC HYDRO ,69.08,
2008-01-23,Electronic Funds Transfer PAY Z3944225 CANADA,,1437.88
2008-01-25,Internet Banking INTERNET TRANSFER 000000163521  ,1207.47,
2008-01-31,Branch Transaction SERVICE CHARGE  ,3.90,
2008-01-31,Branch Transaction SERVICE CHARGE DISCOUNT  ,,3.90
2008-02-06,Electronic Funds Transfer PAY Z3944225 CANADA,,1440.82
2008-02-08,Point Of Sale or Debit Card RETAIL PURCHASE   803813098412 TIM HORTONS #28 ,3.91,
2008-02-11,Automated Banking Machine INSTANT TELLER WITHDRAWAL INTERAC/RBC          SCD  0003 ,82.00,
2008-02-11,Point Of Sale or Debit Card RETAIL PURCHASE   021000012874 GALILEO COFFEE ,5.25,
2008-02-11,Electronic Funds Transfer NETWORK TRANSACTION FEE INSTANT TELLER ,1.50,
2008-02-12,Automated Banking Machine INSTANT TELLER WITHDRAWAL INTERAC/RBC          SCD  0003 ,101.50,
2008-02-12,Electronic Funds Transfer NETWORK TRANSACTION FEE INSTANT TELLER ,1.50,
2008-02-13,Automated Banking Machine INSTANT TELLER WITHDRAWAL GARDEN CITY + BLUNDELL    1C67 ,1000.00,
2008-02-18,Automated Banking Machine INSTANT TELLER WITHDRAWAL GARDEN CITY + BLUNDELL    1C67 ,800.00,
2008-02-19,Internet Banking INTERNET BILL PAY 000000295300 HBC CREDIT CARD ,194.56,
2008-02-20,Electronic Funds Transfer PAY Z3944225 CANADA,,1442.16
2008-02-22,Cheque or Preauth. Debit CHEQUE  067           22430176  ,1000.00,
2008-02-25,Internet Banking INTERNET TRANSFER 000000273297  ,667.21,
2008-02-28,Internet Banking INTERNET TRANSFER 000000241039  ,,0.50
2008-02-28,Cheque or Preauth. Debit CHEQUE  068           22135886  ,9000.00,
2008-02-29,Branch Transaction SERVICE CHARGE  ,3.90,
2008-02-29,Branch Transaction SERVICE CHARGE DISCOUNT  ,,3.90
2008-03-04,Internet Banking INTERNET BILL PAY 000000657768 QUESTRADE INC. ,1600.00,
2008-03-05,Electronic Funds Transfer PAY Z3944225 CANADA,,1440.82
2008-03-11,Internet Banking INTERNET BILL PAY 000000035848 TELUS MOBILITY.MOBILITE ,53.24,
2008-03-12,Internet Banking INTERNET BILL PAY 000000612358 BC HYDRO ,88.09,
2008-03-19,Electronic Funds Transfer PAY Z3944225 CANADA,,1442.16
2008-03-24,Internet Banking INTERNET TRANSFER 000000303763  ,1038.14,
2008-03-26,Automated Banking Machine INSTANT TELLER DEPOSIT DOUGLAS + VIEW            1A1N ,,78.91
